Service,Region,Subservice,Detail,Cost_Month1,Cost_Month2,Difference
Relational Database Service,,,,16899.62,15999.66,899.9599999999991
Relational Database Service,EU (Frankfurt),,,16899.57,15999.61,899.9599999999991
Relational Database Service,EU (Frankfurt),Amazon Aurora Storage and I/O,,21.53,18.53,3.0
Relational Database Service,EU (Frankfurt),Amazon Aurora Storage and I/O,$0.119 per GB-month of consumed storage (Aurora),1.28,1.25,0.030000000000000027
Relational Database Service,EU (Frankfurt),Amazon Aurora Storage and I/O,$0.22 per 1 million I/O requests (Aurora),20.25,17.28,2.969999999999999
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Backup Storage,,503.24,494.6,8.639999999999986
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Backup Storage,$0.103 per additional GB-month of backup storage exceeding free allocation,1.04,1.04,0.0
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Backup Storage,$0.103 per additional GB-month of backup storage exceeding free allocation running MariaDB,126.72,116.96,9.760000000000005
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Backup Storage,$0.103 per additional GB-month of backup storage exceeding free allocation running MySQL,367.03,368.13,-1.1000000000000227
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Backup Storage,$0.103 per additional GB-month of backup storage exceeding free allocation running PostgreSQL,8.45,8.47,-0.02000000000000135
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,,4583.27,4348.34,234.9300000000003
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.024 per IOPS-month of provisioned GP3 IOPS running MySQL,1281.87,1152.0,129.8699999999999
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.137 per GB-month of provisioned GP3 storage running MariaDB,72.61,71.75,0.8599999999999994
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.137 per GB-month of provisioned GP3 storage running MySQL,2277.24,2175.88,101.35999999999967
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.137 per GB-month of provisioned gp2 storage running MySQL,0.75,0,0.75
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.137 per GB-month of provisioned gp2 storage running PostgreSQL,0.69,0.69,0.0
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.273 per GB-month of provisioned gp2 storage for Multi-AZ deployments running MySQL,1.55,0,1.55
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.273 per GB-month of provisioned gp2 storage for Multi-AZ deployments running PostgreSQL,5.46,5.46,0.0
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service Provisioned Storage,$0.274 per GB-month of provisioned GP3 storage for Multi-AZ deployments running MySQL,943.1,942.56,0.5400000000000773
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for Aurora MySQL,,382.24,369.97,12.269999999999982
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for Aurora MySQL,$ 0.17 per RDS db.t4g.large Single-AZ instance hour (or partial hour) running Aurora MySQL,379.44,367.2,12.240000000000009
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for Aurora MySQL,$USD 0.023 per GB-month of backup storage exceeding free allocation for Aurora MySQL,2.8,2.77,0.029999999999999805
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MariaDB,,332.57,321.84,10.730000000000018
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MariaDB,$ 0.149 per RDS db.t4g.large Single-AZ instance hour (or partial hour) running MariaDB,110.86,107.28,3.5799999999999983
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MariaDB,$ 0.298 per RDS db.t4g.xlarge Single-AZ instance hour (or partial hour) running MariaDB,221.71,214.56,7.150000000000006
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,,4293.61,3881.81,411.7999999999997
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 0.074 per RDS db.t4g.medium Single-AZ instance hour (or partial hour) running MySQL,55.06,53.28,1.7800000000000011
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 0.582 per RDS db.r7g.xlarge Single-AZ instance hour (or partial hour) running MySQL,866.02,838.08,27.93999999999994
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 1.444 per RDS db.m6g.4xlarge Single-AZ instance hour (or partial hour) running MySQL,256.57,0,256.57
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 2.488 per RDS db.r6gd.4xlarge Single-AZ instance hour (or partial hour) running MySQL,15.53,0,15.53
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 4.153 per RDS db.r6g.4xlarge Multi-AZ instance hour (or partial hour) running MySQL,3089.83,2990.16,99.67000000000007
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$ 4.153 per RDS db.r6g.8xlarge Single-AZ instance hour (or partial hour) running MySQL,0,0.29,-0.29
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$USD 0.020 per db.t3.micro Single-AZ instance hour (or partial hour) running MySQL,0.08,0,0.08
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$USD 0.040 per db.t3.micro Multi-AZ instance hour (or partial hour) running MySQL,0.11,0,0.11
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$USD 0.080 per db.t3.medium Single-AZ instance hour (or partial hour) running MySQL,3.3,0,3.3
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition,$USD 0.160 per db.t3.medium Multi-AZ instance hour (or partial hour) running MySQL,7.11,0,7.11
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition Reserved Instances,,6705.37,6489.06,216.3099999999995
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition Reserved Instances,"$USD 0.2576 hourly fee per MySQL, db.m6g.xl instance",191.65,185.47,6.180000000000007
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition Reserved Instances,"$USD 0.5152 hourly fee per MySQL, db.m6g.xl instance",383.31,370.94,12.370000000000005
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for MySQL Community Edition Reserved Instances,"$USD 2.7466 hourly fee per MySQL, db.r6g.8xl instance",6130.41,5932.65,197.76000000000022
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for PostgreSQL,,77.74,75.46,2.280000000000001
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for PostgreSQL,$ 0.074 per RDS db.t4g.small Multi-AZ instance hour (or partial hour) running PostgreSQL,55.06,53.28,1.7800000000000011
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for PostgreSQL,$0.0754 per vCPU-month for each additional month of retention,3.47,3.47,0.0
Relational Database Service,EU (Frankfurt),Amazon Relational Database Service for PostgreSQL,$1.7927 per vCPU-month for one month retention,3.59,3.59,0.0
